Date/Time,Environmental Audio Exposure (dBASPL),Source
2022-02-25 11:55:26,61.94,Mithat Can’s Apple Watch
2022-02-25 12:25:26,65.93,Mithat Can’s Apple Watch
2022-02-25 12:55:21,69.06,Mithat Can’s Apple Watch
2022-02-25 13:25:16,72.52,Mithat Can’s Apple Watch
2022-02-25 13:55:16,69.99,Mithat Can’s Apple Watch
2022-02-25 14:25:16,65.65,Mithat Can’s Apple Watch
2022-02-25 14:55:16,66.3,Mithat Can’s Apple Watch
2022-02-25 15:25:11,68.1,Mithat Can’s Apple Watch
2022-02-25 15:55:11,64.03,Mithat Can’s Apple Watch
2022-02-25 16:25:06,67.79,Mithat Can’s Apple Watch
2022-02-25 16:55:01,67,Mithat Can’s Apple Watch
2022-02-25 17:25:01,78.1,Mithat Can’s Apple Watch
2022-02-25 17:54:56,74.95,Mithat Can’s Apple Watch
2022-02-25 18:24:56,75.49,Mithat Can’s Apple Watch
2022-02-25 18:54:51,72.24,Mithat Can’s Apple Watch
2022-02-25 19:24:46,71.05,Mithat Can’s Apple Watch
2022-02-25 19:54:41,68.5,Mithat Can’s Apple Watch
2022-02-25 20:24:36,75.74,Mithat Can’s Apple Watch
2022-02-25 20:54:31,80.57,Mithat Can’s Apple Watch
2022-02-25 21:24:26,73.77,Mithat Can’s Apple Watch
2022-02-25 21:54:21,61.98,Mithat Can’s Apple Watch
2022-02-25 22:24:16,62.28,Mithat Can’s Apple Watch
2022-02-28 14:10:55,67.48,Mithat Can’s Apple Watch
2022-02-28 14:40:50,76.73,Mithat Can’s Apple Watch
2022-02-28 15:10:50,73.35,Mithat Can’s Apple Watch
2022-02-28 15:40:50,68.68,Mithat Can’s Apple Watch
2022-02-28 16:10:50,68.64,Mithat Can’s Apple Watch
2022-02-28 16:40:45,71.52,Mithat Can’s Apple Watch
2022-02-28 17:10:45,69.06,Mithat Can’s Apple Watch
2022-02-28 17:40:40,67.7,Mithat Can’s Apple Watch
2022-02-28 18:10:35,65.95,Mithat Can’s Apple Watch
2022-03-01 14:21:12,70.33,Mithat Can’s Apple Watch
2022-03-01 14:51:12,69.34,Mithat Can’s Apple Watch
2022-03-01 15:21:12,63.2,Mithat Can’s Apple Watch
2022-03-01 15:51:12,48.18,Mithat Can’s Apple Watch
2022-03-01 16:21:07,57.7,Mithat Can’s Apple Watch
