Date/Time,Heart Rate Variability (ms),Source
2022-06-02 23:52:17,44.33,Mithat Can’s Apple Watch
2022-06-04 00:40:16,58.86,Mithat Can’s Apple Watch
2022-06-04 15:44:45,31.77,Mithat Can’s Apple Watch
2022-06-04 22:00:04,35.35,Mithat Can’s Apple Watch
2022-06-08 16:01:37,40.07,Mithat Can’s Apple Watch
2022-06-08 16:46:55,50.43,Mithat Can’s Apple Watch
2022-06-08 18:05:11,52.35,Mithat Can’s Apple Watch
2022-06-09 20:42:35,46.73,Mithat Can’s Apple Watch
2022-06-09 22:51:59,49.55,Mithat Can’s Apple Watch
2022-06-10 12:23:44,50.33,Mithat Can’s Apple Watch
2022-06-10 14:39:59,34.39,Mithat Can’s Apple Watch
2022-06-10 18:03:47,30.12,Mithat Can’s Apple Watch
2022-06-10 23:00:47,50.6,Mithat Can’s Apple Watch
2022-06-11 10:41:35,63.69,Mithat Can’s Apple Watch
2022-06-11 14:47:50,97.41,Mithat Can’s Apple Watch
2022-06-12 17:28:58,25.25,Mithat Can’s Apple Watch
2022-06-12 18:05:17,38.1,Mithat Can’s Apple Watch
2022-06-12 22:03:42,23.08,Mithat Can’s Apple Watch
2022-06-13 13:39:37,127.38,Mithat Can’s Apple Watch
2022-06-14 08:24:12,30.07,Mithat Can’s Apple Watch
2022-06-14 08:27:13,49.72,Mithat Can’s Apple Watch
2022-06-14 12:27:33,36.18,Mithat Can’s Apple Watch
2022-06-14 16:53:49,73.05,Mithat Can’s Apple Watch
2022-06-15 14:38:38,45.44,Mithat Can’s Apple Watch
2022-06-15 16:27:05,51.68,Mithat Can’s Apple Watch
2022-06-16 14:54:39,40.01,Mithat Can’s Apple Watch
2022-06-16 16:27:14,60.1,Mithat Can’s Apple Watch
2022-06-17 14:30:29,50.47,Mithat Can’s Apple Watch
2022-06-17 17:03:47,51.08,Mithat Can’s Apple Watch
2022-06-18 16:34:35,24.22,Mithat Can’s Apple Watch
2022-06-19 14:56:56,69.7,Mithat Can’s Apple Watch
