Date/Time,Resting Heart Rate (count/min),Source
2022-12-24 00:03:14,75,Mithat Can’s Apple Watch
2022-12-25 00:03:14,75,Mithat Can’s Apple Watch
2022-12-26 18:41:46,74,Mithat Can’s Apple Watch
2022-12-28 00:07:12,71,Mithat Can’s Apple Watch
2022-12-28 22:05:54,75,Mithat Can’s Apple Watch
2022-12-29 22:00:01,73,Mithat Can’s Apple Watch
2022-12-30 22:00:58,81,Mithat Can’s Apple Watch
2022-12-31 22:06:21,83,Mithat Can’s Apple Watch
2023-01-01 22:00:00,79,Mithat Can’s Apple Watch
2023-01-02 22:06:19,81,Mithat Can’s Apple Watch
2023-01-03 22:09:25,77,Mithat Can’s Apple Watch
2023-01-05 00:00:46,85,Mithat Can’s Apple Watch
2023-01-06 20:13:23,69,Mithat Can’s Apple Watch
2023-01-07 15:11:41,80,Mithat Can’s Apple Watch
2023-01-09 09:47:16,73,Mithat Can’s Apple Watch
2023-01-10 20:54:12,85,Mithat Can’s Apple Watch
2023-01-11 13:15:04,70,Mithat Can’s Apple Watch
2023-01-12 08:47:10,67,Mithat Can’s Apple Watch
2023-01-13 10:38:22,71,Mithat Can’s Apple Watch
2023-01-14 00:01:40,69,Mithat Can’s Apple Watch
2023-01-16 12:43:34,75,Mithat Can’s Apple Watch
2023-01-17 11:38:48,66,Mithat Can’s Apple Watch
2023-01-18 00:04:29,67,Mithat Can’s Apple Watch
2023-01-19 00:04:25,74,Mithat Can’s Apple Watch
2023-01-20 00:02:25,63,Mithat Can’s Apple Watch
2023-01-21 00:01:56,64,Mithat Can’s Apple Watch
2023-01-22 00:00:29,70,Mithat Can’s Apple Watch
2023-01-23 11:49:00,77,Mithat Can’s Apple Watch
2023-01-24 00:04:31,68,Mithat Can’s Apple Watch
2023-01-25 00:04:30,63,Mithat Can’s Apple Watch
2023-01-26 00:05:24,72,Mithat Can’s Apple Watch
2023-01-27 00:00:52,67,Mithat Can’s Apple Watch
2023-01-29 22:21:44,77,Mithat Can’s Apple Watch
2023-01-30 09:29:38,67,Mithat Can’s Apple Watch
2023-01-31 00:01:40,75,Mithat Can’s Apple Watch
2023-02-01 00:01:51,72,Mithat Can’s Apple Watch
2023-02-02 11:49:59,80,Mithat Can’s Apple Watch
2023-02-03 00:02:07,90,Mithat Can’s Apple Watch
2023-02-04 15:54:31,74,Mithat Can’s Apple Watch
2023-02-05 00:00:17,72,Mithat Can’s Apple Watch
2023-02-06 00:00:06,71,Mithat Can’s Apple Watch
2023-02-07 19:47:27,63,Mithat Can’s Apple Watch
2023-02-08 00:03:25,62,Mithat Can’s Apple Watch
2023-02-09 10:20:34,72,Mithat Can’s Apple Watch
2023-02-10 12:06:16,64,Mithat Can’s Apple Watch
2023-02-12 14:06:02,67,Mithat Can’s Apple Watch
2023-02-13 00:01:52,59,Mithat Can’s Apple Watch
2023-02-14 00:08:22,69,Mithat Can’s Apple Watch
2023-02-15 00:11:49,84,Mithat Can’s Apple Watch
2023-02-16 19:34:02,83,Mithat Can’s Apple Watch
2023-02-17 00:04:51,72,Mithat Can’s Apple Watch
2023-02-20 16:56:41,78,Mithat Can’s Apple Watch
2023-02-22 17:20:01,92,Mithat Can’s Apple Watch
2023-02-24 11:21:21,71,Mithat Can’s Apple Watch
2023-02-26 15:51:21,67,Mithat Can’s Apple Watch
2023-02-27 12:16:16,68,Mithat Can’s Apple Watch
2023-02-28 10:07:19,69,Mithat Can’s Apple Watch
2023-03-01 15:34:12,78,Mithat Can’s Apple Watch
2023-03-02 00:05:26,66,Mithat Can’s Apple Watch
2023-03-05 15:46:14,80,Mithat Can’s Apple Watch
2023-03-06 00:02:01,72,Mithat Can’s Apple Watch
2023-03-08 17:44:43,77,Mithat Can’s Apple Watch
2023-03-09 00:01:37,79,Mithat Can’s Apple Watch
2023-03-10 00:00:13,68,Mithat Can’s Apple Watch
2023-03-11 00:03:11,69,Mithat Can’s Apple Watch
2023-03-13 13:01:33,73,Mithat Can’s Apple Watch
2023-03-15 15:23:37,63,Mithat Can’s Apple Watch
2023-03-16 00:04:15,72,Mithat Can’s Apple Watch
2023-03-17 00:19:09,72,Mithat Can’s Apple Watch
2023-03-27 11:05:45,76,Mithat Can’s Apple Watch
2023-03-28 17:07:01,87,Mithat Can’s Apple Watch
2023-03-31 11:46:33,79,Mithat Can’s Apple Watch
2023-04-01 15:05:20,73,Mithat Can’s Apple Watch
2023-04-02 20:41:01,87,Mithat Can’s Apple Watch
2023-04-03 00:03:47,84,Mithat Can’s Apple Watch
2023-04-04 12:51:58,72,Mithat Can’s Apple Watch
2023-04-05 17:00:00,84,Mithat Can’s Apple Watch
2023-04-06 15:29:58,90,Mithat Can’s Apple Watch
2023-04-07 00:02:53,77,Mithat Can’s Apple Watch
2023-04-08 00:11:40,56,Mithat Can’s Apple Watch
2023-04-11 12:33:28,70,Mithat Can’s Apple Watch
2023-04-12 00:02:39,70,Mithat Can’s Apple Watch
2023-04-13 15:20:06,67,Mithat Can’s Apple Watch
2023-04-16 15:54:58,74,Mithat Can’s Apple Watch
2023-04-17 15:16:09,75,Mithat Can’s Apple Watch
2023-04-18 00:00:03,69,Mithat Can’s Apple Watch
2023-04-19 15:02:00,79,Mithat Can’s Apple Watch
2023-04-20 00:00:45,79,Mithat Can’s Apple Watch
2023-04-21 09:56:11,62,Mithat Can’s Apple Watch
2023-04-22 14:01:56,69,Mithat Can’s Apple Watch
2023-04-23 15:11:03,84,Mithat Can’s Apple Watch
2023-04-24 00:03:15,68,Mithat Can’s Apple Watch
2023-04-25 00:04:51,66,Mithat Can’s Apple Watch
2023-04-26 14:14:32,72,Mithat Can’s Apple Watch
2023-04-27 06:39:07,70,Mithat Can’s Apple Watch
2023-04-28 00:06:02,73,Mithat Can’s Apple Watch
2023-04-29 00:03:09,70,Mithat Can’s Apple Watch
2023-04-30 00:05:37,77,Mithat Can’s Apple Watch
2023-05-01 00:00:41,65,Mithat Can’s Apple Watch
2023-05-02 12:15:36,66,Mithat Can’s Apple Watch
2023-05-03 00:01:55,64,Mithat Can’s Apple Watch
2023-05-04 00:02:14,79,Mithat Can’s Apple Watch
2023-05-05 00:01:25,63,Mithat Can’s Apple Watch
2023-05-06 00:00:44,62,Mithat Can’s Apple Watch
2023-05-07 00:02:23,69,Mithat Can’s Apple Watch
2023-05-08 12:55:48,66,Mithat Can’s Apple Watch
2023-05-09 00:02:12,63,Mithat Can’s Apple Watch
2023-05-10 00:02:03,64,Mithat Can’s Apple Watch
2023-05-11 00:05:19,68,Mithat Can’s Apple Watch
2023-05-12 00:01:29,74,Mithat Can’s Apple Watch
2023-05-13 12:16:28,69,Mithat Can’s Apple Watch
2023-05-14 00:00:17,67,Mithat Can’s Apple Watch
2023-05-15 12:28:01,63,Mithat Can’s Apple Watch
2023-05-16 21:55:48,60,Mithat Can’s Apple Watch
2023-05-17 12:06:48,63,Mithat Can’s Apple Watch
2023-05-18 12:01:50,66,Mithat Can’s Apple Watch
2023-05-19 09:50:43,68,Mithat Can’s Apple Watch
2023-05-20 00:00:27,67,Mithat Can’s Apple Watch
2023-05-21 00:00:04,63,Mithat Can’s Apple Watch
2023-05-22 00:04:58,71,Mithat Can’s Apple Watch
2023-05-23 00:02:45,62,Mithat Can’s Apple Watch
2023-05-24 00:06:35,63,Mithat Can’s Apple Watch
2023-05-25 13:08:23,70,Mithat Can’s Apple Watch
2023-05-29 12:40:12,67,Mithat Can’s Apple Watch
2023-05-30 12:36:12,65,Mithat Can’s Apple Watch
2023-05-31 13:19:16,65,Mithat Can’s Apple Watch
2023-06-01 00:00:13,65,Mithat Can’s Apple Watch
2023-06-02 00:00:01,70,Mithat Can’s Apple Watch
2023-06-03 00:04:38,60,Mithat Can’s Apple Watch
2023-06-04 00:02:02,71,Mithat Can’s Apple Watch
2023-06-05 13:31:15,66,Mithat Can’s Apple Watch
2023-06-06 00:04:21,66,Mithat Can’s Apple Watch
2023-06-07 13:29:59,75,Mithat Can’s Apple Watch
2023-06-08 12:28:01,73,Mithat Can’s Apple Watch
2023-06-09 00:01:03,70,Mithat Can’s Apple Watch
2023-06-10 00:01:40,72,Mithat Can’s Apple Watch
2023-06-11 00:06:51,68,Mithat Can’s Apple Watch
2023-06-12 15:54:35,79,Mithat Can’s Apple Watch
2023-06-14 08:38:12,66,Mithat Can’s Apple Watch
2023-06-15 15:17:25,66,Mithat Can’s Apple Watch
2023-06-16 15:54:36,88,Mithat Can’s Apple Watch
2023-06-17 00:04:43,71,Mithat Can’s Apple Watch
2023-06-18 00:02:42,74,Mithat Can’s Apple Watch
2023-06-19 15:47:59,76,Mithat Can’s Apple Watch
2023-06-20 00:03:20,65,Mithat Can’s Apple Watch
2023-06-22 10:57:56,70,Mithat Can’s Apple Watch
2023-06-23 13:54:04,82,Mithat Can’s Apple Watch
2023-06-24 00:08:15,67,Mithat Can’s Apple Watch
2023-06-25 00:07:46,76,Mithat Can’s Apple Watch
2023-06-26 00:02:19,70,Mithat Can’s Apple Watch
2023-06-27 00:05:23,73,Mithat Can’s Apple Watch
2023-06-28 00:01:23,66,Mithat Can’s Apple Watch
2023-06-29 19:22:18,73,Mithat Can’s Apple Watch
2023-06-30 00:00:08,64,Mithat Can’s Apple Watch
2023-07-01 00:05:22,72,Mithat Can’s Apple Watch
2023-07-02 18:49:09,70,Mithat Can’s Apple Watch
2023-07-03 00:00:24,72,Mithat Can’s Apple Watch
2023-07-04 12:43:23,68,Mithat Can’s Apple Watch
2023-07-05 00:05:57,63,Mithat Can’s Apple Watch
2023-07-06 00:01:20,67,Mithat Can’s Apple Watch
2023-07-07 11:18:05,84,Mithat Can’s Apple Watch
2023-07-08 00:02:01,75,Mithat Can’s Apple Watch
2023-07-09 00:14:09,67,Mithat Can’s Apple Watch
2023-07-10 00:00:37,67,Mithat Can’s Apple Watch
2023-07-10 23:00:30,65,Mithat Can’s Apple Watch
2023-07-11 23:01:55,75,Mithat Can’s Apple Watch
2023-07-12 23:00:03,83,Mithat Can’s Apple Watch
2023-07-14 18:34:35,76,Mithat Can’s Apple Watch
2023-07-14 23:00:37,66,Mithat Can’s Apple Watch
2023-07-17 15:09:24,73,Mithat Can’s Apple Watch
2023-07-17 23:00:15,84,Mithat Can’s Apple Watch
2023-07-19 10:27:52,75,Mithat Can’s Apple Watch
2023-07-19 23:01:21,76,Mithat Can’s Apple Watch
2023-07-22 07:30:35,62,Mithat Can’s Apple Watch
2023-07-23 12:10:25,68,Mithat Can’s Apple Watch
2023-07-24 13:33:14,74,Mithat Can’s Apple Watch
2023-07-25 09:19:26,69,Mithat Can’s Apple Watch
2023-07-25 23:02:18,61,Mithat Can’s Apple Watch
2023-07-27 11:18:17,63,Mithat Can’s Apple Watch
2023-07-27 23:02:14,83,Mithat Can’s Apple Watch
2023-07-29 08:02:49,64,Mithat Can’s Apple Watch
2023-07-30 15:37:12,74,Mithat Can’s Apple Watch
2023-07-30 23:04:47,73,Mithat Can’s Apple Watch
2023-08-02 15:43:05,71,Mithat Can’s Apple Watch
2023-08-03 15:41:18,83,Mithat Can’s Apple Watch
2023-08-04 05:38:12,79,Mithat Can’s Apple Watch
2023-08-04 23:05:32,76,Mithat Can’s Apple Watch
2023-08-05 23:03:41,66,Mithat Can’s Apple Watch
2023-08-06 23:12:24,71,Mithat Can’s Apple Watch
2023-08-07 23:01:01,72,Mithat Can’s Apple Watch
2023-08-08 23:09:29,80,Mithat Can’s Apple Watch
2023-08-09 23:03:42,80,Mithat Can’s Apple Watch
2023-08-10 23:05:31,71,Mithat Can’s Apple Watch
2023-08-16 14:32:26,91,Mithat Can’s Apple Watch
2023-08-16 23:01:09,83,Mithat Can’s Apple Watch
2023-08-17 23:00:02,74,Mithat Can’s Apple Watch
2023-08-18 23:05:04,70,Mithat Can’s Apple Watch
2023-08-19 23:05:23,74,Mithat Can’s Apple Watch
2023-08-22 18:16:33,91,Mithat Can’s Apple Watch
2023-08-23 14:10:28,79,Mithat Can’s Apple Watch
